Date,EU_Trend,OF_Trend,OS_Trend,SF_Trend,USB_Trend,PLT_Trend,PLD_Trend,USDI_Price,USDI_Open,USDI_High,USDI_Low,USDI_Volume,USDI_Trend
12/15/2011,1,1,0,1,1,0,1,80.341,80.565,80.63,80.13,22850,0
12/16/2011,1,0,1,0,0,1,1,80.249,80.175,80.395,79.935,13150,0
12/19/2011,0,1,1,0,0,0,0,80.207,80.3,80.47,80.125,970,0
12/20/2011,1,1,1,1,1,1,1,80.273,80.89,80.94,80.035,22950,1
12/21/2011,0,1,1,0,1,0,1,80.35,80.105,80.445,79.55,24140,1
12/22/2011,1,1,1,0,0,0,1,80.306,80.36,80.505,79.955,13240,0
12/23/2011,0,1,1,1,1,1,1,80.236,80.21,80.375,80.06,7170,0
12/27/2011,1,1,1,0,0,1,1,80.135,80.15,80.235,80.04,5660,0
12/28/2011,0,0,0,0,0,0,0,80.883,80.14,81.025,80.055,21110,1
12/29/2011,1,1,1,0,0,0,0,80.911,81.085,81.31,80.77,15450,1
12/30/2011,0,0,0,1,0,1,1,80.522,80.83,81.025,80.36,12440,0
1/3/2012,1,1,1,1,1,1,1,79.912,80.155,80.225,79.83,20040,0
1/4/2012,0,1,1,0,1,0,0,80.425,79.97,80.64,79.845,14080,1
1/5/2012,0,0,0,0,1,0,0,81.25,80.45,81.345,80.385,18590,1
1/6/2012,0,1,1,0,0,0,0,81.597,81.245,81.72,81.055,26720,1
1/9/2012,1,0,0,0,0,1,1,81.388,81.67,81.855,81.255,16300,0
1/10/2012,1,1,1,1,1,1,1,81.101,81.27,81.4,81.015,14030,0
1/11/2012,0,0,0,1,0,1,1,81.614,81.295,81.785,81.1,19400,1
1/12/2012,1,0,0,1,1,0,0,81.036,81.535,81.645,80.95,21280,0
1/13/2012,0,0,0,0,0,0,1,81.791,81.06,82.045,80.735,5650,1
1/17/2012,1,1,1,1,0,1,1,81.429,81.67,81.68,81.01,20230,0
1/18/2012,1,0,1,1,1,0,1,80.822,81.28,81.375,80.665,22230,0
1/19/2012,1,1,0,0,1,0,1,80.405,80.715,80.805,80.23,21620,0
1/20/2012,0,0,0,1,1,1,1,80.406,80.275,80.635,80.185,14820,0
1/23/2012,1,1,1,1,1,1,1,79.934,80.535,80.585,79.755,24810,0
1/24/2012,0,0,0,0,1,0,0,80.026,79.925,80.345,79.785,24900,1
1/25/2012,1,0,1,1,0,1,1,79.717,79.965,80.505,79.515,36150,0
1/27/2012,1,1,0,1,0,1,0,79.011,79.62,79.63,78.89,28700,0
1/30/2012,0,0,0,0,0,0,0,79.302,78.96,79.57,78.96,22360,1
1/31/2012,0,1,0,0,0,0,0,79.417,79.165,79.63,78.855,24950,1
2/1/2012,1,1,0,1,1,1,1,79.033,79.48,79.665,78.745,34830,0
2/2/2012,0,1,0,1,0,1,1,79.11,78.905,79.315,78.84,19650,1
2/3/2012,0,1,1,0,1,0,0,79.057,79.125,79.485,78.815,25780,0
2/6/2012,0,1,0,1,0,0,0,79.186,79.19,79.645,79.1,18550,1
2/7/2012,1,1,1,1,1,1,1,78.675,79.2,79.37,78.57,34450,0
2/8/2012,0,1,1,0,1,1,1,78.734,78.645,78.855,78.51,25580,1
2/9/2012,1,1,1,1,1,0,0,78.652,78.8,78.89,78.43,26570,0
2/10/2012,0,0,0,0,0,1,0,79.226,78.655,79.315,78.655,28290,1
2/13/2012,1,1,1,0,0,0,0,79.045,78.95,79.125,78.715,20790,0
2/14/2012,0,1,1,0,0,0,0,79.694,79.2,79.765,79.015,32500,1
2/15/2012,0,1,1,0,0,1,0,79.783,79.56,79.86,79.2,33370,1
2/16/2012,1,1,1,0,1,0,1,79.455,79.86,80.24,79.37,35090,0
2/17/2012,1,0,1,0,1,1,0,79.456,79.485,79.595,79.255,5530,0
2/21/2012,1,1,1,1,1,1,1,79.136,79.2,79.36,78.895,23770,1
2/22/2012,1,1,1,1,0,1,1,79.303,79.2,79.465,79.08,22460,1
2/23/2012,1,1,1,1,0,0,0,78.886,79.345,79.37,78.655,34290,0
2/24/2012,1,1,1,0,0,0,0,78.401,78.68,78.82,78.26,34100,0
2/27/2012,0,0,0,1,0,0,0,78.578,78.45,78.715,78.4,34100,1
2/28/2012,1,0,0,1,1,1,1,78.3,78.55,78.64,78.22,27920,0
2/29/2012,0,1,1,0,1,0,0,78.794,78.22,78.93,78.12,36180,1
3/1/2012,0,1,1,1,1,1,1,78.834,78.8,78.995,78.69,20820,1
3/2/2012,0,0,0,0,0,0,0,79.462,78.825,79.515,78.79,30120,1
3/5/2012,1,1,1,0,1,0,0,79.365,79.515,79.64,79.285,19120,0
3/6/2012,0,0,0,1,0,0,0,79.926,79.37,79.935,79.345,28180,1
3/7/2012,1,1,1,1,1,1,1,79.763,79.83,79.98,79.645,25370,0
3/8/2012,1,1,1,1,1,1,1,79.179,79.785,79.815,79.1,24710,0
3/9/2012,0,1,1,1,1,1,1,80.084,79.225,80.095,79.195,28390,1
3/12/2012,1,0,0,0,1,1,0,79.913,80.025,80.16,79.845,22990,0
3/13/2012,0,1,1,0,1,0,1,80.21,79.82,80.345,79.69,38080,1
3/14/2012,0,0,0,0,1,0,0,80.536,80.15,80.62,80.135,38980,1
3/15/2012,1,0,0,1,1,1,1,80.136,80.63,80.725,80.025,22100,0
3/16/2012,1,1,1,0,1,0,0,79.734,80.23,80.385,79.73,21960,0
3/19/2012,1,0,1,1,1,1,1,79.712,80.065,80.185,79.605,20190,0
3/20/2012,0,0,0,0,0,0,0,79.825,79.755,80.1,79.685,13890,1
3/21/2012,0,1,1,1,0,0,0,79.896,79.805,80.07,79.53,15860,1
3/22/2012,0,0,0,0,0,0,0,79.998,79.77,80.195,79.65,21990,1
3/23/2012,1,1,1,1,0,1,1,79.576,79.895,80.01,79.325,24700,0
3/26/2012,1,1,1,1,1,1,1,79.179,79.495,79.94,79.06,19120,0
3/27/2012,0,0,0,0,0,1,0,79.222,79.125,79.345,78.93,20780,1
3/28/2012,0,0,0,0,1,0,0,79.299,79.29,79.515,79.05,27630,1
3/29/2012,0,0,0,1,0,0,1,79.357,79.275,79.53,79.125,19450,1
3/30/2012,1,1,0,1,1,1,1,79.138,79.225,79.225,78.87,24070,0
4/2/2012,0,1,1,1,0,1,1,78.963,79.035,79.275,78.92,19340,0
