GDX_Close,GDX_High,SF_Low,SF_Price,EG_low,EG_open,PLT_Price,PLT_High,Adj Close
51.68,53.139999,52316,53604,72.150002,74.550003,1414.65,1423.35,152.330002
52.68,53.18,52890,53458,73.349998,73.599998,1420.25,1431.75,155.229996
51.169998,52.549999,52544,52961,64.199997,69.099998,1411.1,1427.6,154.869995
52.990002,53.25,52595,53487,66.0,66.449997,1434.75,1436.55,156.979996
52.959999,53.43,52937,53148,66.900002,67.099998,1429.05,1453.75,157.160004
52.400002,52.619999,52690,52894,66.699997,68.400002,1425.9,1435.25,156.03999299999995
52.790001,52.790001,52960,53067,69.900002,70.050003,1426.45,1439.3,156.309998
51.869999,52.52,52588,52711,67.550003,70.800003,1438.55,1442.85,154.910004
50.060001,51.869999,50281,50636,66.050003,68.5,1386.8,1437.35,151.029999
51.200001,51.200001,48562,50218,64.699997,66.0,1379.0,1389.4,150.339996
51.43,52.080002,50265,51445,67.5,68.349998,1403.25,1410.25,151.990005
53.799999,54.02,51493,53109,70.699997,70.699997,1436.2,1436.2,155.919998
53.740002,54.540001,52260,52761,72.5,73.699997,1426.05,1441.35,156.71000700000005
53.900002,54.27,51861,52740,71.849998,73.150002,1421.25,1439.5,157.779999
53.349998,54.290001,51548,51868,71.5,73.150002,1406.55,1423.7,157.199997
53.650002,53.950001,51366,51749,71.050003,72.449997,1426.15,1434.0,156.5
54.470001,55.07,51755,52566,71.650002,73.949997,1467.1,1474.15,158.639999
54.310001,54.509998,52230,52607,70.599998,72.099998,1499.55,1501.45,159.669998
54.720001,55.450001,52603,52770,70.349998,72.199997,1498.95,1512.45,160.380005
54.049999,54.169998,51871,52001,68.599998,69.949997,1493.45,1498.5,159.259995
53.18,54.540001,52392,53207,69.599998,71.099998,1528.4,1538.4,160.5
53.240002,53.580002,52845,53428,69.650002,69.650002,1527.95,1530.35,161.600006
52.150002,53.419998,53232,53387,68.099998,70.150002,1524.75,1541.4,161.220001
52.18,52.779999,53170,54825,67.349998,68.050003,1537.9,1538.4,162.070007
53.009998,53.27,55232,55565,67.650002,68.650002,1568.65,1570.75,163.160004
51.82,52.580002,55235,55365,66.25,67.699997,1550.75,1570.55,162.009995
55.23,55.41,54671,56411,65.25,66.150002,1583.65,1586.35,166.419998
57.139999,57.369999,56573,57165,70.25,71.150002,1624.6,1627.25,168.970001
56.459999,56.91,56425,56992,72.900002,73.800003,1612.8,1626.25,168.029999
56.459999,57.709999,56112,56422,73.900002,75.949997,1593.75,1632.8,169.309998
56.560001,57.150002,56356,56834,75.0,76.449997,1620.95,1627.9,169.559998
57.470001,57.939999,56326,57023,75.599998,76.099998,1630.3,1635.85,171.050003
56.439999,56.939999,55650,56161,73.449997,76.300003,1625.35,1638.55,167.639999
56.18,56.799999,55675,56426,72.400002,72.849998,1623.95,1631.8,167.179993
55.880001,56.650002,56011,57265,71.599998,73.400002,1649.25,1655.35,169.699997
55.540001,56.529999,56689,56821,70.199997,72.650002,1665.55,1669.45,168.5
55.25,56.43,56831,57177,69.25,71.199997,1660.0,1673.8,168.020004
54.490002,54.84,56378,56915,67.199997,67.900002,1661.75,1663.0,167.139999
54.299999,54.919998,56433,56664,66.349998,68.099998,1649.05,1670.95,167.509995
53.77,54.549999,56220,56416,64.349998,66.650002,1634.25,1652.95,167.119995
53.560001,54.459999,56250,56303,65.949997,66.25,1635.0,1645.6,168.110001
54.950001,55.150002,55551,56216,65.5,66.099998,1630.65,1635.85,168.0
54.150002,55.349998,55781,55926,66.599998,69.0,1635.6,1646.6,167.350006
55.82,55.849998,56242,57157,68.349998,68.349998,1690.85,1693.55,171.020004
56.830002,57.0,56856,57257,70.75,71.849998,1725.25,1729.05,172.940002
57.259998,57.709999,57218,58677,73.599998,73.949997,1724.65,1736.4,173.020004
56.459999,57.290001,58254,58404,74.800003,75.599998,1714.0,1729.55,172.229996
56.060001,56.639999,58311,58710,73.900002,74.800003,1704.6,1718.9,171.699997
57.330002,57.439999,58525,60883,76.0,76.5,1724.2,1728.35,173.490005
55.400002,57.91,57230,57783,74.25,77.900002,1678.35,1738.85,164.28999299999995
55.889999,56.380001,57120,58332,75.699997,76.75,1705.7,1706.0,166.610001
54.790001,55.529999,57701,58056,74.300003,76.550003,1700.6,1714.75,166.339996
53.619999,54.439999,56810,56994,70.5,73.900002,1667.7,1699.4,165.649994
52.470001,52.580002,57370,57708,68.449997,69.400002,1619.15,1672.0,162.699997
52.669998,52.919998,57622,58464,69.0,70.25,1634.3,1634.7,163.630005
53.32,53.709999,58315,58775,70.400002,71.849998,1664.4,1664.7,165.279999
53.240002,53.939999,57567,59221,70.25,70.75,1686.15,1686.9,166.380005
52.369999,53.240002,58222,58392,69.949997,70.699997,1696.95,1707.2,165.070007
52.110001,52.860001,57815,58259,70.050003,70.050003,1692.9,1704.25,162.300003
50.119999,51.349998,57027,57236,66.25,69.25,1673.35,1705.45,159.570007
50.139999,50.939999,56835,57979,67.0,67.0,1687.95,1691.8,161.080002
49.93,50.310001,56673,57254,65.699997,67.150002,1672.4,1693.35,161.300003
49.599998,50.52,56838,57505,66.0,67.449997,1679.75,1686.1,161.589996
49.860001,49.990002,56300,56466,64.150002,65.150002,1656.45,1680.85,160.130005
49.759998,50.5,56510,56851,65.300003,66.150002,1640.95,1664.05,160.21000700000005
48.75,49.130001,55901,56302,63.75,64.0,1624.15,1644.65,159.570007
49.759998,50.060001,56223,57203,64.150002,64.75,1627.5,1637.4,161.529999
50.630001,50.950001,57040,57731,67.949997,68.5,1654.35,1654.6,164.399994
49.91,50.860001,57330,57405,67.349998,68.699997,1656.75,1671.65,163.240005
48.93,49.75,56467,56578,65.349998,67.0,1641.75,1656.95,161.509995
49.060001,49.09,56401,56771,64.650002,65.800003,1637.15,1649.7,161.279999
49.540001,49.630001,56727,56909,67.449997,67.449997,1643.15,1652.2,162.119995
50.389999,50.759998,56686,57595,68.25,68.650002,1657.35,1659.7,162.940002
48.75,50.470001,57103,57567,68.150002,70.349998,1646.45,1670.8,159.889999
46.709999,47.77,55027,55385,63.950001,66.5,1603.05,1648.45,157.21000700000005
46.200001,47.080002,55390,55976,63.950001,65.699997,1607.5,1610.95,158.309998
46.48,47.130001,55601,55902,63.25,64.449997,1617.75,1626.9,159.369995
47.040001,47.189999,55701,56267,62.200001,63.599998,1606.2,1632.05,161.100006
46.490002,47.23,55851,56017,63.950001,65.050003,1589.35,1607.65,161.070007
48.150002,48.330002,55901,56994,65.150002,65.449997,1609.4,1609.45,162.699997
47.5,48.060001,55630,55809,70.550003,72.300003,1585.9,1610.25,160.850006
46.639999,47.740002,55501,55920,70.300003,72.5,1577.15,1583.3,160.46000700000005
47.110001,47.709999,55666,56016,71.349998,71.75,1584.1,1588.05,160.25
46.630001,47.259998,55905,56064,70.300003,71.949997,1581.05,1595.35,159.309998
46.610001,47.27,55921,56576,70.800003,71.400002,1578.8,1597.05,159.429993
46.119999,47.060001,56307,56451,69.599998,71.650002,1581.4,1586.75,159.53999299999995
45.040001,45.450001,55303,55553,65.099998,68.199997,1560.1,1584.85,159.070007
45.139999,45.470001,55527,55697,65.849998,66.5,1549.35,1561.75,159.300003
46.290001,46.389999,54426,55194,66.849998,67.150002,1556.1,1559.25,159.619995
46.25,46.450001,55259,55924,70.150002,70.75,1569.35,1574.2,161.029999
46.799999,47.110001,55669,55983,70.900002,71.849998,1573.75,1579.55,161.380005
46.389999,46.57,54825,55318,70.0,71.099998,1573.8,1578.45,161.880005
46.439999,46.900002,54805,55302,69.599998,71.25,1573.1,1578.75,161.320007
45.66,46.099998,54961,55147,68.650002,69.699997,1562.25,1573.5,160.589996
43.880001,45.150002,54950,55133,64.550003,68.199997,1538.1,1565.15,158.970001
44.049999,44.740002,54756,55282,65.0,65.800003,1526.35,1541.2,159.470001
43.669998,44.389999,55267,55796,63.75,65.599998,1524.0,1532.85,159.080002
42.169998,42.849998,54855,55135,58.25,62.5,1509.55,1534.45,156.0
43.02,43.630001,54272,55159,56.450001,56.450001,1497.7,1512.7,154.470001
43.09,43.889999,54370,54568,58.549999,60.349998,1487.85,1508.95,154.770004
42.419998,43.299999,53561,54140,56.849998,58.450001,1464.45,1488.2,153.559998
40.970001,42.259998,53463,53635,54.5,56.099998,1441.55,1476.8,151.330002
39.34,41.34,52820,52957,51.0,54.450001,1436.3,1454.3,149.740005
39.560001,40.66,51201,51559,51.0,51.049999,1438.15,1443.25,149.46000700000005
41.34,41.970001,51893,53134,52.299999,52.5,1452.45,1458.6,152.800003
41.619999,42.810001,53170,54468,54.299999,55.5,1455.75,1466.25,154.550003
43.009998,43.119999,53865,54130,54.5,54.900002,1472.6,1473.3,154.649994
42.540001,43.759998,53873,54392,54.75,55.900002,1443.85,1473.65,152.080002
44.439999,44.439999,53320,53818,52.299999,54.549999,1422.85,1446.85,151.619995
44.630001,45.279999,53980,54317,56.549999,58.450001,1421.15,1434.5,151.410004
44.91,45.150002,53882,54426,57.650002,58.549999,1431.5,1435.05,152.679993
44.09,45.48,53790,53964,57.75,59.299999,1428.6,1448.7,151.020004
44.240002,44.830002,53560,54483,54.25,56.849998,1407.3,1431.65,151.910004
43.779999,44.849998,53820,54110,54.099998,57.349998,1406.75,1419.6,151.619995
46.580002,46.869999,52813,54445,56.25,56.5,1444.05,1447.55,157.5
47.330002,47.349998,53759,53839,57.099998,57.700001,1432.55,1448.95,157.320007
47.529999,47.599998,53905,54442,59.200001,59.849998,1440.1,1448.7,157.139999
47.619999,48.720001,54565,55841,61.299999,62.25,1464.3,1470.35,157.21000700000005
45.990002,47.75,53840,54091,59.549999,63.349998,1445.0,1470.95,154.5
46.330002,46.639999,53557,54296,57.75,58.950001,1433.75,1446.3,154.729996
45.66,46.709999,54280,54694,58.0,59.700001,1437.8,1456.9,155.360001
46.759998,46.939999,54500,55076,58.900002,59.349998,1451.7,1456.35,156.46000700000005
46.790001,47.48,54836,55015,60.450001,61.099998,1459.3,1469.65,157.119995
46.93,47.169998,53951,54441,61.950001,62.450001,1491.65,1494.75,157.75
46.919998,47.119999,54400,54554,62.049999,63.049999,1482.6,1498.85,157.839996
47.73,47.919998,54253,54923,63.049999,63.349998,1487.6,1504.15,157.929993
47.68,47.889999,54250,54465,64.25,66.099998,1484.8,1492.55,157.160004
47.27,48.349998,53813,54570,63.549999,64.449997,1457.8,1487.3,155.970001
44.82,46.380001,52815,52898,61.150002,63.299999,1435.9,1462.2,152.020004
44.580002,45.349998,52554,52864,60.5,62.0,1435.8,1439.15,152.639999
45.16,45.450001,52307,53675,60.150002,60.700001,1444.9,1447.3,153.759995
44.450001,45.23,52703,52963,60.25,61.25,1431.65,1446.8,152.619995
44.279999,44.799999,52463,52767,59.450001,61.349998,1416.6,1432.2,152.830002
43.310001,44.0,51660,51756,58.700001,60.099998,1391.1,1421.2,151.050003
44.77,45.080002,51751,52421,60.700001,62.400002,1449.35,1453.3,155.190002
44.759998,45.040001,51912,52143,61.049999,61.099998,1450.75,1459.05,155.089996
46.450001,46.57,52200,52512,63.900002,64.599998,1487.2,1492.9,157.46000700000005
45.77,46.419998,52257,52560,60.900002,62.0,1477.6,1493.5,155.679993
44.43,45.41,52960,53061,60.700001,61.450001,1445.85,1478.95,153.71000700000005
44.25,44.509998,53174,53544,59.700001,60.900002,1446.6,1450.9,154.03999299999995
42.869999,44.84,52580,52648,56.599998,61.0,1428.35,1454.35,152.149994
41.970001,42.549999,52456,52735,53.799999,57.049999,1427.6,1436.15,152.990005
41.709999,42.060001,52202,53017,52.200001,54.5,1419.0,1429.55,152.589996
42.310001,42.509998,52718,52807,53.200001,54.349998,1432.5,1435.9,154.139999
42.16,42.43,52413,52745,52.75,54.200001,1422.6,1437.7,154.21000700000005
41.700001,42.189999,52370,52890,51.400002,53.25,1420.8,1432.0,153.470001
41.119999,41.580002,52535,52706,51.200001,51.599998,1408.9,1420.75,153.050003
41.59,41.880001,52609,52670,52.0,52.299999,1420.45,1427.6,153.380005
41.720001,41.869999,52305,52872,51.25,51.349998,1415.35,1420.25,153.669998
40.700001,41.060001,52502,52923,48.900002,50.549999,1399.4,1407.85,153.029999
40.720001,41.169998,52570,52828,49.950001,51.0,1387.95,1405.95,153.520004
41.959999,42.630001,52861,53453,50.950001,52.200001,1399.15,1406.65,155.669998
42.830002,42.959999,53150,53217,50.700001,52.650002,1405.3,1415.4,156.770004
43.130001,43.290001,53001,53201,49.900002,49.900002,1411.45,1420.05,157.53999299999995
43.720001,43.77,53125,53827,55.25,55.25,1416.05,1420.1,157.429993
42.830002,43.98,53920,53974,53.700001,56.650002,1410.5,1434.4,156.490005
42.25,43.049999,52662,53172,51.549999,54.150002,1402.2,1418.35,155.139999
42.040001,42.889999,52818,52905,52.150002,52.849998,1388.7,1409.75,154.130005
42.860001,43.009998,52708,53317,53.450001,54.049999,1406.05,1420.85,155.550003
43.73,44.16,53151,53344,54.5,54.75,1401.3,1408.55,156.300003
44.23,44.25,53261,53368,55.900002,56.0,1409.4,1414.25,156.279999
43.990002,44.889999,53087,53409,55.400002,57.400002,1409.25,1411.65,156.479996
44.560001,44.73,53322,53512,55.299999,55.799999,1413.2,1418.95,156.990005
44.849998,44.900002,53027,53499,56.299999,56.5,1400.95,1412.85,157.179993
44.240002,45.34,53312,53348,56.400002,57.25,1388.85,1404.2,155.990005
43.93,44.540001,53309,53433,55.900002,56.25,1396.85,1412.9,155.130005
45.650002,45.669998,53385,53750,56.849998,57.299999,1436.65,1443.9,156.559998
45.34,45.900002,53610,53631,58.5,58.849998,1474.75,1475.6,156.720001
45.619999,45.77,53520,54313,58.599998,59.450001,1489.65,1498.45,157.259995
46.380001,47.23,54315,55240,61.0,61.25,1508.9,1511.55,158.830002
47.5,47.5,55115,55309,62.5,62.900002,1539.1,1540.8,160.53999299999995
47.419998,48.150002,55425,56778,64.849998,67.599998,1542.25,1563.3,161.889999
47.57,47.779999,56389,56949,64.25,65.150002,1550.45,1555.45,161.970001
46.900002,47.669998,57409,58039,63.150002,65.199997,1545.3,1557.55,161.360001
46.849998,47.389999,57351,57609,63.900002,64.449997,1518.2,1545.55,161.639999
46.389999,47.009998,57160,57559,63.599998,64.449997,1517.35,1525.15,160.589996
46.02,46.59,56731,56953,63.25,63.799999,1507.65,1528.75,160.520004
47.939999,48.060001,56613,58404,64.199997,65.150002,1540.15,1541.2,164.220001
47.77,48.139999,59700,60606,65.599998,66.900002,1566.9,1570.55,164.479996
47.93,47.98,60199,60630,66.300003,67.800003,1567.8,1576.8,164.309998
49.130001,49.16,62027,62339,67.949997,68.849998,1581.1,1593.45,164.889999
50.459999,50.73,61398,64060,70.0,71.099998,1591.75,1606.4,168.440002
49.48,50.419998,63759,63980,70.300003,73.400002,1592.35,1608.75,167.28999299999995
49.810001,50.349998,63638,63804,71.400002,71.900002,1606.0,1612.45,167.899994
50.009998,50.240002,61912,63298,70.400002,72.800003,1643.45,1658.95,167.919998
52.52,52.529999,62273,65292,70.599998,72.150002,1692.85,1693.2,171.309998
53.860001,54.080002,63801,64312,76.0,76.900002,1709.0,1716.3,171.800003
53.889999,54.200001,63605,63761,77.150002,79.25,1665.3,1715.75,170.399994
54.32,54.32,63323,64469,77.75,78.5,1621.6,1677.2,171.720001
54.790001,54.950001,64132,64480,77.900002,78.949997,1641.5,1646.95,171.740005
54.360001,54.41,63711,64362,76.699997,78.800003,1628.9,1641.5,171.470001
54.810001,55.25,63111,63371,77.699997,80.199997,1635.8,1647.15,171.96000700000005
52.959999,54.23,62034,62412,74.449997,76.099998,1626.5,1635.55,171.050003
52.169998,53.959999,62112,62314,73.400002,76.5,1632.85,1647.35,170.770004
52.400002,52.779999,61830,62656,70.5,72.099998,1641.0,1641.9,169.809998
53.889999,53.990002,62250,63055,73.25,74.300003,1657.65,1662.6,172.339996
